Rank,Equivalence,5_6_poker,5_7_poker,5_8_poker,hand,classification,Description,product
1,4,188,4324,64860,A K Q J T,SF,Royal Flush,62734018
2,4,184,4140,60720,K Q J T 9,SF,King-High Straight Flush,29071862
3,4,184,4140,60720,Q J T 9 8,SF,Queen-High Straight Flush,13357342
4,4,184,4140,60720,J T 9 8 7,SF,Jack-High Straight Flush,5601466
5,4,184,4140,60720,T 9 8 7 6,SF,Ten-High Straight Flush,2124694
6,4,184,4140,60720,9 8 7 6 5,SF,Nine-High Straight Flush,646646
7,4,184,4140,60720,8 7 6 5 4,SF,Eight-High Straight Flush,170170
8,4,184,4140,60720,7 6 5 4 3,SF,Seven-High Straight Flush,30030
9,4,184,4140,60720,6 5 4 3 2,SF,Six-High Straight Flush,4620
10,4,184,4140,60720,5 4 3 2 A,SF,Five-High Straight Flush,17220
11,4,182,4052,58825,A A A A K,4K,Four Aces,104553157
12,4,166,3364,44361,A A A A Q,4K,Four Aces,87598591
13,4,150,2740,32485,A A A A J,4K,Four Aces,81947069
14,4,134,2180,22945,A A A A T,4K,Four Aces,64992503
15,4,118,1684,15485,A A A A 9,4K,Four Aces,53689459
16,4,102,1252,9849,A A A A 8,4K,Four Aces,48037937
17,4,86,884,5781,A A A A 7,4K,Four Aces,36734893
18,4,70,580,3025,A A A A 6,4K,Four Aces,31083371
19,4,54,340,1321,A A A A 5,4K,Four Aces,19780327
20,4,38,164,425,A A A A 4,4K,Four Aces,14128805
21,4,22,52,69,A A A A 3,4K,Four Aces,8477283
22,4,6,4,1,A A A A 2,4K,Four Aces,5651522
23,4,182,4052,58824,K K K K A,4K,Four Kings,76840601
24,4,166,3364,44357,K K K K Q,4K,Four Kings,58098991
25,4,150,2740,32485,K K K K J,4K,Four Kings,54350669
26,4,134,2180,22945,K K K K T,4K,Four Kings,43105703
27,4,118,1684,15485,K K K K 9,4K,Four Kings,35609059
28,4,102,1252,9849,K K K K 8,4K,Four Kings,31860737
29,4,86,884,5781,K K K K 7,4K,Four Kings,24364093
30,4,70,580,3025,K K K K 6,4K,Four Kings,20615771
31,4,54,340,1325,K K K K 5,4K,Four Kings,13119127
32,4,38,164,425,K K K K 4,4K,Four Kings,9370805
33,4,22,52,69,K K K K 3,4K,Four Kings,5622483
34,4,6,4,1,K K K K 2,4K,Four Kings,3748322
35,4,182,4052,58824,Q Q Q Q A,4K,Four Queens,37864361
36,4,166,3364,44356,Q Q Q Q K,4K,Four Queens,34170277
37,4,150,2740,32481,Q Q Q Q J,4K,Four Queens,26782109
38,4,134,2180,22945,Q Q Q Q T,4K,Four Queens,21240983
39,4,118,1684,15485,Q Q Q Q 9,4K,Four Queens,17546899
40,4,102,1252,9849,Q Q Q Q 8,4K,Four Queens,15699857
41,4,86,884,5781,Q Q Q Q 7,4K,Four Queens,12005773
42,4,70,580,3025,Q Q Q Q 6,4K,Four Queens,10158731
43,4,54,340,1325,Q Q Q Q 5,4K,Four Queens,6464647
44,4,38,164,425,Q Q Q Q 4,4K,Four Queens,4617605
45,4,22,52,69,Q Q Q Q 3,4K,Four Queens,2770563
46,4,6,4,1,Q Q Q Q 2,4K,Four Queens,1847042
47,4,182,4052,58824,J J J J A,4K,Four Jacks,28998521
48,4,166,3364,44356,J J J J K,4K,Four Jacks,26169397
49,4,150,2740,32480,J J J J Q,4K,Four Jacks,21925711
50,4,134,2180,22941,J J J J T,4K,Four Jacks,16267463
51,4,118,1684,15485,J J J J 9,4K,Four Jacks,13438339
52,4,102,1252,9849,J J J J 8,4K,Four Jacks,12023777
53,4,86,884,5781,J J J J 7,4K,Four Jacks,9194653
54,4,70,580,3025,J J J J 6,4K,Four Jacks,7780091
55,4,54,340,1325,J J J J 5,4K,Four Jacks,4950967
56,4,38,164,425,J J J J 4,4K,Four Jacks,3536405
57,4,22,52,69,J J J J 3,4K,Four Jacks,2121843
58,4,6,4,1,J J J J 2,4K,Four Jacks,1414562
59,4,182,4052,58824,T T T T A,4K,Four Tens,11473481
60,4,166,3364,44356,T T T T K,4K,Four Tens,10354117
61,4,150,2740,32480,T T T T Q,4K,Four Tens,8675071
62,4,134,2180,22940,T T T T J,4K,Four Tens,8115389
63,4,118,1684,15481,T T T T 9,4K,Four Tens,5316979
64,4,102,1252,9849,T T T T 8,4K,Four Tens,4757297
65,4,86,884,5781,T T T T 7,4K,Four Tens,3637933
66,4,70,580,3025,T T T T 6,4K,Four Tens,3078251
67,4,54,340,1325,T T T T 5,4K,Four Tens,1958887
68,4,38,164,425,T T T T 4,4K,Four Tens,1399205
69,4,22,52,69,T T T T 3,4K,Four Tens,839523
70,4,6,4,1,T T T T 2,4K,Four Tens,559682
71,4,182,4052,58828,9 9 9 9 A,4K,Four Nines,5343161
72,4,166,3364,44356,9 9 9 9 K,4K,Four Nines,4821877
73,4,150,2740,32480,9 9 9 9 Q,4K,Four Nines,4039951
74,4,134,2180,22940,9 9 9 9 J,4K,Four Nines,3779309
75,4,118,1684,15480,9 9 9 9 T,4K,Four Nines,2997383
76,4,102,1252,9845,9 9 9 9 8,4K,Four Nines,2215457
77,4,86,884,5781,9 9 9 9 7,4K,Four Nines,1694173
78,4,70,580,3025,9 9 9 9 6,4K,Four Nines,1433531
79,4,54,340,1325,9 9 9 9 5,4K,Four Nines,912247
80,4,38,164,425,9 9 9 9 4,4K,Four Nines,651605
81,4,22,52,69,9 9 9 9 3,4K,Four Nines,390963
82,4,6,4,1,9 9 9 9 2,4K,Four Nines,260642
83,4,182,4052,58828,8 8 8 8 A,4K,Four Eights,3424361
84,4,166,3364,44360,8 8 8 8 K,4K,Four Eights,3090277
85,4,150,2740,32480,8 8 8 8 Q,4K,Four Eights,2589151
86,4,134,2180,22940,8 8 8 8 J,4K,Four Eights,2422109
87,4,118,1684,15480,8 8 8 8 T,4K,Four Eights,1920983
88,4,102,1252,9844,8 8 8 8 9,4K,Four Eights,1586899
89,4,86,884,5777,8 8 8 8 7,4K,Four Eights,1085773
90,4,70,580,3025,8 8 8 8 6,4K,Four Eights,918731
91,4,54,340,1325,8 8 8 8 5,4K,Four Eights,584647
92,4,38,164,425,8 8 8 8 4,4K,Four Eights,417605
93,4,22,52,69,8 8 8 8 3,4K,Four Eights,250563
94,4,6,4,1,8 8 8 8 2,4K,Four Eights,167042
95,4,182,4052,58828,7 7 7 7 A,4K,Four Sevens,1171001
96,4,166,3364,44360,7 7 7 7 K,4K,Four Sevens,1056757
97,4,150,2740,32484,7 7 7 7 Q,4K,Four Sevens,885391
98,4,134,2180,22940,7 7 7 7 J,4K,Four Sevens,828269
99,4,118,1684,15480,7 7 7 7 T,4K,Four Sevens,656903
100,4,102,1252,9844,7 7 7 7 9,4K,Four Sevens,542659
101,4,86,884,5776,7 7 7 7 8,4K,Four Sevens,485537
102,4,70,580,3021,7 7 7 7 6,4K,Four Sevens,314171
103,4,54,340,1325,7 7 7 7 5,4K,Four Sevens,199927
104,4,38,164,425,7 7 7 7 4,4K,Four Sevens,142805
105,4,22,52,69,7 7 7 7 3,4K,Four Sevens,85683
106,4,6,4,1,7 7 7 7 2,4K,Four Sevens,57122
107,4,182,4052,58828,6 6 6 6 A,4K,Four Sixes,600281
108,4,166,3364,44360,6 6 6 6 K,4K,Four Sixes,541717
109,4,150,2740,32484,6 6 6 6 Q,4K,Four Sixes,453871
110,4,134,2180,22944,6 6 6 6 J,4K,Four Sixes,424589
111,4,118,1684,15480,6 6 6 6 T,4K,Four Sixes,336743
112,4,102,1252,9844,6 6 6 6 9,4K,Four Sixes,278179
113,4,86,884,5776,6 6 6 6 8,4K,Four Sixes,248897
114,4,70,580,3020,6 6 6 6 7,4K,Four Sixes,190333
115,4,54,340,1321,6 6 6 6 5,4K,Four Sixes,102487
116,4,38,164,425,6 6 6 6 4,4K,Four Sixes,73205
117,4,22,52,69,6 6 6 6 3,4K,Four Sixes,43923
118,4,6,4,1,6 6 6 6 2,4K,Four Sixes,29282
119,4,182,4052,58824,5 5 5 5 A,4K,Four Fives,98441
120,4,166,3364,44360,5 5 5 5 K,4K,Four Fives,88837
121,4,150,2740,32484,5 5 5 5 Q,4K,Four Fives,74431
122,4,134,2180,22944,5 5 5 5 J,4K,Four Fives,69629
123,4,118,1684,15484,5 5 5 5 T,4K,Four Fives,55223
124,4,102,1252,9844,5 5 5 5 9,4K,Four Fives,45619
125,4,86,884,5776,5 5 5 5 8,4K,Four Fives,40817
126,4,70,580,3020,5 5 5 5 7,4K,Four Fives,31213
127,4,54,340,1320,5 5 5 5 6,4K,Four Fives,26411
128,4,38,164,425,5 5 5 5 4,4K,Four Fives,12005
129,4,22,52,69,5 5 5 5 3,4K,Four Fives,7203
130,4,6,4,1,5 5 5 5 2,4K,Four Fives,4802
131,4,182,4052,58824,4 4 4 4 A,4K,Four Fours,25625
132,4,166,3364,44360,4 4 4 4 K,4K,Four Fours,23125
133,4,150,2740,32484,4 4 4 4 Q,4K,Four Fours,19375
134,4,134,2180,22944,4 4 4 4 J,4K,Four Fours,18125
135,4,118,1684,15484,4 4 4 4 T,4K,Four Fours,14375
136,4,102,1252,9848,4 4 4 4 9,4K,Four Fours,11875
137,4,86,884,5776,4 4 4 4 8,4K,Four Fours,10625
138,4,70,580,3020,4 4 4 4 7,4K,Four Fours,8125
139,4,54,340,1320,4 4 4 4 6,4K,Four Fours,6875
140,4,38,164,424,4 4 4 4 5,4K,Four Fours,4375
141,4,22,52,69,4 4 4 4 3,4K,Four Fours,1875
142,4,6,4,1,4 4 4 4 2,4K,Four Fours,1250
143,4,182,4052,58824,3 3 3 3 A,4K,Four Treys,3321
144,4,166,3364,44360,3 3 3 3 K,4K,Four Treys,2997
145,4,150,2740,32484,3 3 3 3 Q,4K,Four Treys,2511
146,4,134,2180,22944,3 3 3 3 J,4K,Four Treys,2349
147,4,118,1684,15484,3 3 3 3 T,4K,Four Treys,1863
148,4,102,1252,9848,3 3 3 3 9,4K,Four Treys,1539
149,4,86,884,5780,3 3 3 3 8,4K,Four Treys,1377
150,4,70,580,3020,3 3 3 3 7,4K,Four Treys,1053
151,4,54,340,1320,3 3 3 3 6,4K,Four Treys,891
152,4,38,164,424,3 3 3 3 5,4K,Four Treys,567
153,4,22,52,68,3 3 3 3 4,4K,Four Treys,405
154,4,6,4,1,3 3 3 3 2,4K,Four Treys,162
155,4,182,4052,58824,2 2 2 2 A,4K,Four Deuces,656
156,4,166,3364,44360,2 2 2 2 K,4K,Four Deuces,592
157,4,150,2740,32484,2 2 2 2 Q,4K,Four Deuces,496
158,4,134,2180,22944,2 2 2 2 J,4K,Four Deuces,464
159,4,118,1684,15484,2 2 2 2 T,4K,Four Deuces,368
160,4,102,1252,9848,2 2 2 2 9,4K,Four Deuces,304
161,4,86,884,5780,2 2 2 2 8,4K,Four Deuces,272
162,4,70,580,3024,2 2 2 2 7,4K,Four Deuces,208
163,4,54,340,1320,2 2 2 2 6,4K,Four Deuces,176
164,4,38,164,424,2 2 2 2 5,4K,Four Deuces,112
165,4,22,52,68,2 2 2 2 4,4K,Four Deuces,80
166,4,6,4,0,2 2 2 2 3,4K,Four Deuces,48
167,24,1072,23408,332956,A A A K K,FH,Aces Full over Kings,94352849
168,24,1072,23264,327004,A A A Q Q,FH,Aces Full over Queens,66233081
169,24,1072,23120,321052,A A A J J,FH,Aces Full over Jacks,57962561
170,24,1072,22976,315100,A A A T T,FH,Aces Full over Tens,36459209
171,24,1072,22832,309184,A A A 9 9,FH,Aces Full over Nines,24880481
172,24,1072,22688,303232,A A A 8 8,FH,Aces Full over Eights,19918169
173,24,1072,22544,297280,A A A 7 7,FH,Aces Full over Sevens,11647649
174,24,1072,22400,291328,A A A 6 6,FH,Aces Full over Sixes,8339441
175,24,1072,22256,285340,A A A 5 5,FH,Aces Full over Fives,3377129
176,24,1072,22112,279388,A A A 4 4,FH,Aces Full over Fours,1723025
177,24,1072,21968,273436,A A A 3 3,FH,Aces Full over Treys,620289
178,24,1072,21824,267484,A A A 2 2,FH,Aces Full over Deuces,275684
179,24,1056,22704,317820,K K K A A,FH,Kings Full over Aces,85147693
180,24,1072,23264,326968,K K K Q Q,FH,Kings Full over Queens,48677533
181,24,1072,23120,321016,K K K J J,FH,Kings Full over Jacks,42599173
182,24,1072,22976,315064,K K K T T,FH,Kings Full over Tens,26795437
183,24,1072,22832,309148,K K K 9 9,FH,Kings Full over Nines,18285733
184,24,1072,22688,303232,K K K 8 8,FH,Kings Full over Eights,14638717
185,24,1072,22544,297280,K K K 7 7,FH,Kings Full over Sevens,8560357
186,24,1072,22400,291328,K K K 6 6,FH,Kings Full over Sixes,6129013
187,24,1072,22256,285376,K K K 5 5,FH,Kings Full over Fives,2481997
188,24,1072,22112,279424,K K K 4 4,FH,Kings Full over Fours,1266325
189,24,1072,21968,273472,K K K 3 3,FH,Kings Full over Treys,455877
190,24,1072,21824,267520,K K K 2 2,FH,Kings Full over Deuces,202612
191,24,1056,22704,317724,Q Q Q A A,FH,Queens Full over Aces,50078671
192,24,1056,22560,311928,Q Q Q K K,FH,Queens Full over Kings,40783879
193,24,1072,23120,320980,Q Q Q J J,FH,Queens Full over Jacks,25054231
194,24,1072,22976,315028,Q Q Q T T,FH,Queens Full over Tens,15759439
195,24,1072,22832,309112,Q Q Q 9 9,FH,Queens Full over Nines,10754551
196,24,1072,22688,303196,Q Q Q 8 8,FH,Queens Full over Eights,8609599
197,24,1072,22544,297280,Q Q Q 7 7,FH,Queens Full over Sevens,5034679
198,24,1072,22400,291328,Q Q Q 6 6,FH,Queens Full over Sixes,3604711
199,24,1072,22256,285376,Q Q Q 5 5,FH,Queens Full over Fives,1459759
200,24,1072,22112,279424,Q Q Q 4 4,FH,Queens Full over Fours,744775
201,24,1072,21968,273472,Q Q Q 3 3,FH,Queens Full over Treys,268119
202,24,1072,21824,267520,Q Q Q 2 2,FH,Queens Full over Deuces,119164
203,24,1056,22704,317628,J J J A A,FH,Jacks Full over Aces,40997909
204,24,1056,22560,311832,J J J K K,FH,Jacks Full over Kings,33388541
205,24,1056,22416,306036,J J J Q Q,FH,Jacks Full over Queens,23437829
206,24,1072,22976,314992,J J J T T,FH,Jacks Full over Tens,12901781
207,24,1072,22832,309076,J J J 9 9,FH,Jacks Full over Nines,8804429
208,24,1072,22688,303160,J J J 8 8,FH,Jacks Full over Eights,7048421
209,24,1072,22544,297244,J J J 7 7,FH,Jacks Full over Sevens,4121741
210,24,1072,22400,291328,J J J 6 6,FH,Jacks Full over Sixes,2951069
211,24,1072,22256,285376,J J J 5 5,FH,Jacks Full over Fives,1195061
212,24,1072,22112,279424,J J J 4 4,FH,Jacks Full over Fours,609725
213,24,1072,21968,273472,J J J 3 3,FH,Jacks Full over Treys,219501
214,24,1072,21824,267520,J J J 2 2,FH,Jacks Full over Deuces,97556
215,24,1056,22704,317532,T T T A A,FH,Tens Full over Aces,20452727
216,24,1056,22560,311736,T T T K K,FH,Tens Full over Kings,16656623
217,24,1056,22416,305940,T T T Q Q,FH,Tens Full over Queens,11692487
218,24,1056,22272,300144,T T T J J,FH,Tens Full over Jacks,10232447
219,24,1072,22832,309040,T T T 9 9,FH,Tens Full over Nines,4392287
220,24,1072,22688,303124,T T T 8 8,FH,Tens Full over Eights,3516263
221,24,1072,22544,297208,T T T 7 7,FH,Tens Full over Sevens,2056223
222,24,1072,22400,291292,T T T 6 6,FH,Tens Full over Sixes,1472207
223,24,1072,22256,285376,T T T 5 5,FH,Tens Full over Fives,596183
224,24,1072,22112,279424,T T T 4 4,FH,Tens Full over Fours,304175
225,24,1072,21968,273472,T T T 3 3,FH,Tens Full over Treys,109503
226,24,1072,21824,267520,T T T 2 2,FH,Tens Full over Deuces,48668
227,24,1056,22704,317472,9 9 9 A A,FH,Nines Full over Aces,11529979
228,24,1056,22560,311676,9 9 9 K K,FH,Nines Full over Kings,9389971
229,24,1056,22416,305880,9 9 9 Q Q,FH,Nines Full over Queens,6591499
230,24,1056,22272,300084,9 9 9 J J,FH,Nines Full over Jacks,5768419
231,24,1056,22128,294288,9 9 9 T T,FH,Nines Full over Tens,3628411
232,24,1072,22688,303088,9 9 9 8 8,FH,Nines Full over Eights,1982251
233,24,1072,22544,297172,9 9 9 7 7,FH,Nines Full over Sevens,1159171
234,24,1072,22400,291256,9 9 9 6 6,FH,Nines Full over Sixes,829939
235,24,1072,22256,285340,9 9 9 5 5,FH,Nines Full over Fives,336091
236,24,1072,22112,279424,9 9 9 4 4,FH,Nines Full over Fours,171475
237,24,1072,21968,273472,9 9 9 3 3,FH,Nines Full over Treys,61731
238,24,1072,21824,267520,9 9 9 2 2,FH,Nines Full over Deuces,27436
239,24,1056,22704,317376,8 8 8 A A,FH,Eights Full over Aces,8258753
240,24,1056,22560,311616,8 8 8 K K,FH,Eights Full over Kings,6725897
241,24,1056,22416,305820,8 8 8 Q Q,FH,Eights Full over Queens,4721393
242,24,1056,22272,300024,8 8 8 J J,FH,Eights Full over Jacks,4131833
243,24,1056,22128,294228,8 8 8 T T,FH,Eights Full over Tens,2598977
244,24,1056,21984,288432,8 8 8 9 9,FH,Eights Full over Nines,1773593
245,24,1072,22544,297136,8 8 8 7 7,FH,Eights Full over Sevens,830297
246,24,1072,22400,291220,8 8 8 6 6,FH,Eights Full over Sixes,594473
247,24,1072,22256,285304,8 8 8 5 5,FH,Eights Full over Fives,240737
248,24,1072,22112,279388,8 8 8 4 4,FH,Eights Full over Fours,122825
249,24,1072,21968,273472,8 8 8 3 3,FH,Eights Full over Treys,44217
250,24,1072,21824,267520,8 8 8 2 2,FH,Eights Full over Deuces,19652
251,24,1056,22704,317280,7 7 7 A A,FH,Sevens Full over Aces,3693157
252,24,1056,22560,311520,7 7 7 K K,FH,Sevens Full over Kings,3007693
253,24,1056,22416,305760,7 7 7 Q Q,FH,Sevens Full over Queens,2111317
254,24,1056,22272,299964,7 7 7 J J,FH,Sevens Full over Jacks,1847677
255,24,1056,22128,294168,7 7 7 T T,FH,Sevens Full over Tens,1162213
256,24,1056,21984,288372,7 7 7 9 9,FH,Sevens Full over Nines,793117
257,24,1056,21840,282576,7 7 7 8 8,FH,Sevens Full over Eights,634933
258,24,1072,22400,291184,7 7 7 6 6,FH,Sevens Full over Sixes,265837
259,24,1072,22256,285268,7 7 7 5 5,FH,Sevens Full over Fives,107653
260,24,1072,22112,279352,7 7 7 4 4,FH,Sevens Full over Fours,54925
261,24,1072,21968,273436,7 7 7 3 3,FH,Sevens Full over Treys,19773
262,24,1072,21824,267520,7 7 7 2 2,FH,Sevens Full over Deuces,8788
263,24,1056,22704,317184,6 6 6 A A,FH,Sixes Full over Aces,2237411
264,24,1056,22560,311424,6 6 6 K K,FH,Sixes Full over Kings,1822139
265,24,1056,22416,305664,6 6 6 Q Q,FH,Sixes Full over Queens,1279091
266,24,1056,22272,299904,6 6 6 J J,FH,Sixes Full over Jacks,1119371
267,24,1056,22128,294108,6 6 6 T T,FH,Sixes Full over Tens,704099
268,24,1056,21984,288312,6 6 6 9 9,FH,Sixes Full over Nines,480491
269,24,1056,21840,282516,6 6 6 8 8,FH,Sixes Full over Eights,384659
270,24,1056,21696,276720,6 6 6 7 7,FH,Sixes Full over Sevens,224939
271,24,1072,22256,285232,6 6 6 5 5,FH,Sixes Full over Fives,65219
272,24,1072,22112,279316,6 6 6 4 4,FH,Sixes Full over Fours,33275
273,24,1072,21968,273400,6 6 6 3 3,FH,Sixes Full over Treys,11979
274,24,1072,21824,267484,6 6 6 2 2,FH,Sixes Full over Deuces,5324
275,24,1056,22704,317052,5 5 5 A A,FH,Fives Full over Aces,576583
276,24,1056,22560,311328,5 5 5 K K,FH,Fives Full over Kings,469567
277,24,1056,22416,305568,5 5 5 Q Q,FH,Fives Full over Queens,329623
278,24,1056,22272,299808,5 5 5 J J,FH,Fives Full over Jacks,288463
279,24,1056,22128,294048,5 5 5 T T,FH,Fives Full over Tens,181447
280,24,1056,21984,288252,5 5 5 9 9,FH,Fives Full over Nines,123823
281,24,1056,21840,282456,5 5 5 8 8,FH,Fives Full over Eights,99127
282,24,1056,21696,276660,5 5 5 7 7,FH,Fives Full over Sevens,57967
283,24,1056,21552,270864,5 5 5 6 6,FH,Fives Full over Sixes,41503
284,24,1072,22112,279280,5 5 5 4 4,FH,Fives Full over Fours,8575
285,24,1072,21968,273364,5 5 5 3 3,FH,Fives Full over Treys,3087
286,24,1072,21824,267448,5 5 5 2 2,FH,Fives Full over Deuces,1372
287,24,1056,22704,316956,4 4 4 A A,FH,Fours Full over Aces,210125
288,24,1056,22560,311232,4 4 4 K K,FH,Fours Full over Kings,171125
289,24,1056,22416,305472,4 4 4 Q Q,FH,Fours Full over Queens,120125
290,24,1056,22272,299712,4 4 4 J J,FH,Fours Full over Jacks,105125
291,24,1056,22128,293952,4 4 4 T T,FH,Fours Full over Tens,66125
292,24,1056,21984,288192,4 4 4 9 9,FH,Fours Full over Nines,45125
293,24,1056,21840,282396,4 4 4 8 8,FH,Fours Full over Eights,36125
294,24,1056,21696,276600,4 4 4 7 7,FH,Fours Full over Sevens,21125
295,24,1056,21552,270804,4 4 4 6 6,FH,Fours Full over Sixes,15125
296,24,1056,21408,265008,4 4 4 5 5,FH,Fours Full over Fives,6125
297,24,1072,21968,273364,4 4 4 3 3,FH,Fours Full over Treys,1125
298,24,1072,21824,267448,4 4 4 2 2,FH,Fours Full over Deuces,500
299,24,1056,22704,316860,3 3 3 A A,FH,Treys Full over Aces,45387
300,24,1056,22560,311136,3 3 3 K K,FH,Treys Full over Kings,36963
301,24,1056,22416,305376,3 3 3 Q Q,FH,Treys Full over Queens,25947
302,24,1056,22272,299616,3 3 3 J J,FH,Treys Full over Jacks,22707
303,24,1056,22128,293856,3 3 3 T T,FH,Treys Full over Tens,14283
304,24,1056,21984,288096,3 3 3 9 9,FH,Treys Full over Nines,9747
305,24,1056,21840,282336,3 3 3 8 8,FH,Treys Full over Eights,7803
306,24,1056,21696,276540,3 3 3 7 7,FH,Treys Full over Sevens,4563
307,24,1056,21552,270744,3 3 3 6 6,FH,Treys Full over Sixes,3267
308,24,1056,21408,264948,3 3 3 5 5,FH,Treys Full over Fives,1323
309,24,1056,21264,259188,3 3 3 4 4,FH,Treys Full over Fours,675
310,24,1072,21824,267448,3 3 3 2 2,FH,Treys Full over Deuces,108
311,24,1056,22704,316764,2 2 2 A A,FH,Deuces Full over Aces,13448
312,24,1056,22560,311040,2 2 2 K K,FH,Deuces Full over Kings,10952
313,24,1056,22416,305280,2 2 2 Q Q,FH,Deuces Full over Queens,7688
314,24,1056,22272,299520,2 2 2 J J,FH,Deuces Full over Jacks,6728
315,24,1056,22128,293760,2 2 2 T T,FH,Deuces Full over Tens,4232
316,24,1056,21984,288000,2 2 2 9 9,FH,Deuces Full over Nines,2888
317,24,1056,21840,282240,2 2 2 8 8,FH,Deuces Full over Eights,2312
318,24,1056,21696,276480,2 2 2 7 7,FH,Deuces Full over Sevens,1352
319,24,1056,21552,270684,2 2 2 6 6,FH,Deuces Full over Sixes,968
320,24,1056,21408,264888,2 2 2 5 5,FH,Deuces Full over Fives,392
321,24,1056,21264,259128,2 2 2 4 4,FH,Deuces Full over Fours,200
322,24,1056,21120,253368,2 2 2 3 3,FH,Deuces Full over Treys,72
323,4,184,4140,59980,A K Q J 9,F,Ace-High Flush,51823754
324,4,180,3960,56020,A K Q J 8,F,Ace-High Flush,46368622
325,4,176,3784,52236,A K Q J 7,F,Ace-High Flush,35458358
326,4,172,3612,48624,A K Q J 6,F,Ace-High Flush,30003226
327,4,168,3444,45176,A K Q J 5,F,Ace-High Flush,19092962
328,4,164,3280,41900,A K Q J 4,F,Ace-High Flush,13637830
329,4,160,3120,38780,A K Q J 3,F,Ace-High Flush,8182698
330,4,156,2964,35816,A K Q J 2,F,Ace-High Flush,5455132
331,4,184,4140,59976,A K Q T 9,F,Ace-High Flush,41101598
332,4,180,3960,56020,A K Q T 8,F,Ace-High Flush,36775114
333,4,176,3784,52236,A K Q T 7,F,Ace-High Flush,28122146
334,4,172,3612,48624,A K Q T 6,F,Ace-High Flush,23795662
335,4,168,3444,45176,A K Q T 5,F,Ace-High Flush,15142694
336,4,164,3280,41900,A K Q T 4,F,Ace-High Flush,10816210
337,4,160,3120,38780,A K Q T 3,F,Ace-High Flush,6489726
338,4,156,2964,35816,A K Q T 2,F,Ace-High Flush,4326484
339,4,180,3960,56016,A K Q 9 8,F,Ace-High Flush,30379442
340,4,176,3784,52236,A K Q 9 7,F,Ace-High Flush,23231338
341,4,172,3612,48624,A K Q 9 6,F,Ace-High Flush,19657286
342,4,168,3444,45176,A K Q 9 5,F,Ace-High Flush,12509182
343,4,164,3280,41900,A K Q 9 4,F,Ace-High Flush,8935130
344,4,160,3120,38780,A K Q 9 3,F,Ace-High Flush,5361078
345,4,156,2964,35816,A K Q 9 2,F,Ace-High Flush,3574052
346,4,176,3784,52232,A K Q 8 7,F,Ace-High Flush,20785934
347,4,172,3612,48624,A K Q 8 6,F,Ace-High Flush,17588098
348,4,168,3444,45176,A K Q 8 5,F,Ace-High Flush,11192426
349,4,164,3280,41900,A K Q 8 4,F,Ace-High Flush,7994590
350,4,160,3120,38780,A K Q 8 3,F,Ace-High Flush,4796754
351,4,156,2964,35816,A K Q 8 2,F,Ace-High Flush,3197836
352,4,172,3612,48620,A K Q 7 6,F,Ace-High Flush,13449722
353,4,168,3444,45176,A K Q 7 5,F,Ace-High Flush,8558914
354,4,164,3280,41900,A K Q 7 4,F,Ace-High Flush,6113510
355,4,160,3120,38780,A K Q 7 3,F,Ace-High Flush,3668106
356,4,156,2964,35816,A K Q 7 2,F,Ace-High Flush,2445404
357,4,168,3444,45176,A K Q 6 5,F,Ace-High Flush,7242158
358,4,164,3280,41900,A K Q 6 4,F,Ace-High Flush,5172970
359,4,160,3120,38780,A K Q 6 3,F,Ace-High Flush,3103782
360,4,156,2964,35816,A K Q 6 2,F,Ace-High Flush,2069188
361,4,164,3276,41744,A K Q 5 4,F,Ace-High Flush,3291890
362,4,160,3120,38780,A K Q 5 3,F,Ace-High Flush,1975134
363,4,156,2964,35816,A K Q 5 2,F,Ace-High Flush,1316756
364,4,160,3120,38780,A K Q 4 3,F,Ace-High Flush,1410810
365,4,156,2964,35816,A K Q 4 2,F,Ace-High Flush,940540
366,4,156,2964,35816,A K Q 3 2,F,Ace-High Flush,564324
367,4,184,4136,59804,A K J T 9,F,Ace-High Flush,38449882
368,4,180,3960,56020,A K J T 8,F,Ace-High Flush,34402526
369,4,176,3784,52236,A K J T 7,F,Ace-High Flush,26307814
370,4,172,3612,48624,A K J T 6,F,Ace-High Flush,22260458
371,4,168,3444,45176,A K J T 5,F,Ace-High Flush,14165746
372,4,164,3280,41900,A K J T 4,F,Ace-High Flush,10118390
373,4,160,3120,38780,A K J T 3,F,Ace-High Flush,6071034
374,4,156,2964,35816,A K J T 2,F,Ace-High Flush,4047356
375,4,180,3960,56016,A K J 9 8,F,Ace-High Flush,28419478
376,4,176,3784,52236,A K J 9 7,F,Ace-High Flush,21732542
377,4,172,3612,48624,A K J 9 6,F,Ace-High Flush,18389074
378,4,168,3444,45176,A K J 9 5,F,Ace-High Flush,11702138
379,4,164,3280,41900,A K J 9 4,F,Ace-High Flush,8358670
380,4,160,3120,38780,A K J 9 3,F,Ace-High Flush,5015202
381,4,156,2964,35816,A K J 9 2,F,Ace-High Flush,3343468
382,4,176,3784,52232,A K J 8 7,F,Ace-High Flush,19444906
383,4,172,3612,48624,A K J 8 6,F,Ace-High Flush,16453382
384,4,168,3444,45176,A K J 8 5,F,Ace-High Flush,10470334
385,4,164,3280,41900,A K J 8 4,F,Ace-High Flush,7478810
386,4,160,3120,38780,A K J 8 3,F,Ace-High Flush,4487286
387,4,156,2964,35816,A K J 8 2,F,Ace-High Flush,2991524
